audio_id,actual_class,python_pred,python_conf,gtm_pred,gtm_conf,class_match,conf_difference,python_correct,gtm_correct
SS02133,panic_scream,panic_scream,99.6,panic_scream,99.5,yes,0.1,yes,yes
SS02135,panic_scream,panic_scream,99.75,panic_scream,100.0,yes,0.25,yes,yes
SS02146,panic_scream,panic_scream,99.62,panic_scream,94.25,yes,5.37,yes,yes
SS02164,panic_scream,panic_scream,90.31,panic_scream,73.5,yes,16.81,yes,yes
SS02168,panic_scream,panic_scream,99.86,panic_scream,100.0,yes,0.14,yes,yes
SS02180,panic_scream,panic_scream,99.59,panic_scream,98.75,yes,0.84,yes,yes
SS02181,panic_scream,panic_scream,99.4,panic_scream,97.75,yes,1.65,yes,yes
SS02193,panic_scream,panic_scream,97.22,panic_scream,93.0,yes,4.22,yes,yes
SS02194,panic_scream,panic_scream,99.54,panic_scream,99.25,yes,0.29,yes,yes
SS02209,panic_scream,panic_scream,99.77,panic_scream,99.75,yes,0.02,yes,yes
SS02211,panic_scream,panic_scream,99.2,panic_scream,99.5,yes,0.3,yes,yes
SS02214,panic_scream,panic_scream,99.84,panic_scream,100.0,yes,0.16,yes,yes
SS02215,panic_scream,panic_scream,99.65,panic_scream,100.0,yes,0.35,yes,yes
SS02227,panic_scream,panic_scream,99.78,panic_scream,99.25,yes,0.53,yes,yes
SS02232,panic_scream,panic_scream,97.13,panic_scream,96.25,yes,0.88,yes,yes
SS02233,panic_scream,panic_scream,99.68,panic_scream,99.75,yes,0.07,yes,yes
SS02239,panic_scream,panic_scream,92.74,panic_scream,70.75,yes,21.99,yes,yes
